Date,log_return,daily_return,price_EMA12_ratio,price_EMA26_ratio,price_MA7_ratio,volume_MA7_ratio,price_MA14_ratio,volume_MA14_ratio,price_MA30_ratio,volume_MA30_ratio,price_MA60_ratio,volume_MA60_ratio,RSI,MACD_pct,MACD_signal_pct,MACD_histogram_pct,BB_width,BB_position,ATR_pct,volatility,stoch_k,stoch_d,OBV_roc_10,OBV_roc_21,volume_ratio,dayofweek_sin,dayofweek_cos,month_sin,month_cos,dayofyear_sin,dayofyear_cos,return_lag_1,volume_lag_1_ratio,return_lag_2,volume_lag_2_ratio,return_lag_3,volume_lag_3_ratio,return_lag_5,volume_lag_5_ratio,return_lag_7,volume_lag_7_ratio,return_lag_14,volume_lag_14_ratio,return_lag_21,volume_lag_21_ratio,ret_1d,ret_3d,ret_5d,ret_10d,ret_21d,hl_spread,close_open_ratio,Gold_return,Unemployment_delta,Interest_rate_delta,Inflation_delta,Sentiment_zscore,GDP_yoy_zscore,VIX_regime_pct,VIX_hl_spread,raw_open,raw_high,raw_low,raw_close,raw_daily_return,raw_log_return,forward_1d_return,target_direction
2009-07-02,-0.009853632637538608,-0.009805244662216217,0.9924597511768452,0.9940238559728855,0.9957456624942521,0.8515411883574945,0.9913757671036999,0.8109999139397555,0.9889562355127568,0.761654613755277,1.0150140568844517,0.6548471740065486,27.219949259631633,0.001585463094551364,0.004657162426578243,-0.0030716993320268784,0.05317936520870949,0.21329238597084893,0.016800003515605507,0.006558602758009485,29.341510774799062,38.02063293083386,-0.4526953772302791,-0.6508981765554412,0.6548471740065486,-0.587785252292473,-0.8090169943749475,-0.4999999999999998,-0.8660254037844388,-0.008606996888688009,-0.9999629591162655,0.0013767958398556157,0.6529147834650895,-0.0006601204327800758,0.7708855601672562,0.003026861782251755,0.7016176885255205,0.009710532948397521,0.818140838175508,-0.010826922735075906,0.8447578520301928,0.0029519478837964908,0.754318642982074,-0.0009477200386718287,0.886862309733107,-0.009805244662216217,-0.009096496372408946,-0.0029025530851297665,-0.014982160953504131,-0.020132505151182478,0.01940021756430526,0.9902129144519457,0.0,0.09999999999999964,-0.04999999999999999,-0.09999999999999987,0.0,-1.0769234383273267,0.06598022482417942,0.2552672778941262,921.24,921.24,896.42,896.42,-0.029144509546966013,-0.029577647252593795,0.00256576158497146,1
2009-07-06,-0.008067013289223867,-0.00803456225700927,0.9868411683431432,0.9870581974317801,0.9879280333309312,1.0184577376929633,0.9859797679059132,0.9720361834418823,0.9808226447974917,0.9208652306080961,1.0053905512484351,0.7877280653426262,26.25809587949638,0.00022280653682696508,0.0038004683173310906,-0.0035776617805041255,0.05560110449090567,0.1153725918722418,0.016849994349640452,0.006698249318794977,16.304675183179807,30.107542098249667,-0.027634365575866404,-0.448514461155441,0.7877280653426262,0.0,1.0,-0.4999999999999998,-0.8660254037844388,-0.07738647923346322,-0.9970011699250151,-0.009805244662216217,0.6570835985515076,0.0013767958398556157,0.6551446085379747,-0.0006601204327800758,0.773518277321038,0.0032142129399055364,1.015739918589164,0.0003312581561243366,0.7750477392713677,-0.00512164989544428,0.7852708969634079,0.003236506447471532,0.8947586425465224,-0.00803456225700927,-0.016408683537491586,-0.014082742605067256,-0.024684118363252017,-0.031141029845759838,0.017421215225746557,0.9931846700148943,0.0,0.09999999999999964,-0.04999999999999999,-0.09999999999999987,0.0,-1.0652777855785602,0.03756705575667829,0.25642178472465205,894.27,898.72,886.36,898.72,0.00256576158497146,0.0025624756380416627,-0.01968354993768917,0
2009-07-07,-0.011483397491250765,-0.011417714942187573,0.9792536272863998,0.9775414327795402,0.9797526944297544,1.0174429363774316,0.9774356555087008,0.9678970309591184,0.9696518141200593,0.9160658181649961,0.9929956463354583,0.7875853861421903,25.500094035303462,-0.001788639167186325,0.00271776188534428,-0.004506401052530604,0.06026933195876888,0.000207184643802422,0.017102534068523908,0.006923263689433791,15.407431529523826,20.35120582916755,-0.031708618734173744,-0.17011019814668593,0.7875853861421903,0.9510565162951535,0.30901699437494745,-0.4999999999999998,-0.8660254037844388,-0.09453674981719933,-0.9955213724144752,-0.00803456225700927,0.7942051952637244,-0.009805244662216217,0.6624864983897781,0.0013767958398556157,0.6605315649424819,0.003026861782251755,0.7098026289641648,0.009710532948397521,0.8276851158361266,-0.008770075560411428,0.8344195245045711,0.0048034706785085035,0.8894795509326873,-0.011417714942187573,-0.02897595067997516,-0.028280924140390518,-0.02307779135468957,-0.046781940385744236,0.018267857804475558,0.9906530754396212,0.0,0.09999999999999964,-0.04999999999999999,-0.09999999999999987,0.0,-1.063121140866477,0.06379311660240439,0.21753647834681403,898.6,898.6,879.93,881.03,-0.01968354993768917,-0.019879851214424007,-0.0016685016401257746,0
2009-07-08,-0.0057899470662519876,-0.005773217625722804,0.9775705960398043,0.9739252341111706,0.9784474385351475,1.2596147042257242,0.9745246169734362,1.181586612575646,0.9646093356185442,1.1211891672214804,0.9867015112596855,0.9662197357997219,25.413176258686036,-0.0038288372375794165,0.001421067132702597,-0.005249904370282013,0.06488208812376266,-0.00802429588495011,0.017196540419990324,0.006938183501244224,16.552111352952547,16.088072688552046,-0.00315113852693516,0.2448094034933539,0.9662197357997219,0.5877852522924732,-0.8090169943749473,-0.4999999999999998,-0.8660254037844388,-0.11165900712169444,-0.9937465804361781,-0.011417714942187573,0.7891660796662647,-0.00803456225700927,0.7957991748258503,-0.009805244662216217,0.6638161169126927,-0.0006601204327800758,0.7814437924552707,0.0032142129399055364,1.026147251335203,-0.0052841921662767355,0.9327621201182383,0.002734408101231045,0.757103305278523,-0.005773217625722804,-0.025021985867660912,-0.03325270019045501,-0.0180866761790498,-0.05486944832588514,0.017255368251208495,0.9940529305757518,0.0,0.09999999999999964,-0.04999999999999999,-0.09999999999999987,0.0,-1.0613091461424689,0.014586672610257478,0.20922810075728746,881.9,886.8,869.32,879.56,-0.0016685016401257746,-0.0016698951393536194,0.0035472281595343436,1
2009-07-09,-0.0034763830194660937,-0.003470347395976514,0.9780635437375494,0.9726675647046232,0.9803343824260423,0.9529446212045295,0.9741762109451799,0.9022029119654988,0.961963067955155,0.8594201509900178,0.9826734786128407,0.7408126927420151,23.598497613186325,-0.005672032992096926,6.4061242039447875e-06,-0.00567843911630087,0.06945100837947688,0.01721495778817883,0.017319776505596737,0.006857899423234272,15.172519188918836,15.710687357131723,0.37400122279512127,0.7838586492189186,0.7408126927420151,-0.587785252292473,-0.8090169943749475,-0.4999999999999998,-0.8660254037844388,-0.12874817745258066,-0.99167731989929,-0.005773217625722804,0.9750636043857055,-0.011417714942187573,0.7963893652632078,-0.00803456225700927,0.8030831735501868,0.0013767958398556157,0.6679152800403605,0.003026861782251755,0.717737117891205,0.0008446966639479303,0.7982144845797441,0.0010748745305653173,0.7566235769799455,-0.003470347395976514,-0.020535933257392447,-0.03793222008196673,-0.02181828719598433,-0.05916066391445751,0.01665968759679269,0.9968090620191975,0.0,0.09999999999999964,-0.04999999999999999,-0.09999999999999987,0.0,-1.0598680116440335,-0.04856225519057822,0.20935956508082398,881.28,887.86,878.45,882.68,0.0035472281595343436,0.0035409515841963073,-0.004021842570353873,0
2009-07-10,-0.001993187907490966,-0.0019912028274587934,0.9797159462652808,0.9728399908617329,0.983892624087537,0.8772235660279506,0.9755489088309844,0.8341802193303239,0.9608426152143658,0.7828289161589767,0.9800943941920761,0.6711071712390483,21.32656890573857,-0.007214254506292288,-0.001437715776821003,-0.005776538729471285,0.07215184121573698,0.0495351086752169,0.017475480546090383,0.006719560771444535,14.574980071575611,15.43320353781565,0.9389157800018442,0.543994865166306,0.6711071712390483,-0.9510565162951536,0.30901699437494723,-0.4999999999999998,-0.8660254037844388,-0.14579919691987442,-0.9893142039703664,-0.003470347395976514,0.745745731578918,-0.005773217625722804,0.9815565096450384,-0.011417714942187573,0.8016924866954266,-0.009805244662216217,0.6743528481372311,-0.0006601204327800758,0.7938476238754532,0.0018330166578071072,0.9801172269190472,-0.002839251569498491,0.9228255401491691,-0.0019912028274587934,-0.011196366859486773,-0.03034013999910745,-0.03315462921727952,-0.05836051447347268,0.014218617113606849,0.9987352418612654,0.0,0.09999999999999964,-0.04999999999999999,-0.09999999999999987,0.0,-1.0588274094109473,-0.025520490643327953,0.20881899077875152,880.03,883.57,872.81,879.13,-0.004021842570353873,-0.004029951929644495,0.024933741312433755,1
2009-07-13,0.0070865634853115285,0.007111732595479925,0.9887089961554932,0.9812297906135851,0.9957027452716964,0.9905253110715201,0.9844144275315506,0.9653716407782048,0.9683905044877191,0.9097748262956301,0.9864022101063089,0.7765279427226135,32.1443648399344,-0.007709323281309011,-0.0026839153187961707,-0.00502540796251284,0.06927058683511265,0.17059703880177932,0.017199627105809186,0.006641946592174332,26.49159276163869,18.746364007377696,1.5081571525940936,0.7634826746126786,0.7765279427226135,0.0,1.0,-0.4999999999999998,-0.8660254037844388,-0.19667288979357622,-0.9804691603616321,-0.0019912028274587934,0.6751594496573533,-0.003470347395976514,0.7502486924518303,-0.005773217625722804,0.9874833428407525,-0.00803456225700927,0.813312334938511,0.0013767958398556157,0.6764227589893433,-0.01304321430193367,0.8463378641420116,0.0012232470318822575,0.9493528013366688,0.007111732595479925,0.0016183005960952457,-0.015534428441642878,-0.02939840368944957,-0.05282245836753019,0.0189440774170791,1.0076260925862306,0.0,0.09999999999999964,-0.04999999999999999,-0.09999999999999987,0.0,-1.058470173445776,-0.09338390589502166,0.21139445181082042,879.57,901.05,875.32,901.05,0.024933741312433755,0.02462796787881758,0.00531602019865729,1
2009-07-14,0.007637923452935571,0.0076671667957772804,0.9968586316034896,0.9895774679089304,1.0056743842504468,0.9071643066551139,0.9925977336974867,0.9029482946687325,0.9767176653976992,0.8516742116186079,0.9932647186499799,0.7227113970710979,43.902040422947906,-0.007381037692666343,-0.003607002632179597,-0.003774035060486746,0.06481982469740191,0.2976299160853649,0.017170632737293304,0.006572984220426139,39.37991621520831,26.815496349474188,2.2556269459514886,1.0441549281863272,0.7227113970710979,0.9510565162951535,0.30901699437494745,-0.4999999999999998,-0.8660254037844388,-0.2135209154397959,-0.9769384927771817,0.007111732595479925,0.7837486276159923,-0.0019912028274587934,0.6814375413660303,-0.003470347395976514,0.757225015004848,-0.011417714942187573,0.8140329599767564,-0.009805244662216217,0.6847331790530523,-0.010826922735075906,0.8833110266195903,0.0029519478837964908,0.7887443405580532,0.0076671667957772804,0.012812687043562088,0.003470978889918319,-0.02490810774115093,-0.048369453947196384,0.018280450342838254,1.007832114870672,0.0,0.09999999999999964,-0.04999999999999999,-0.09999999999999987,0.0,-1.0594201308917257,-0.0490307500708459,0.22631208661737007,900.77,905.84,896.5,905.84,0.00531602019865729,0.0053019400413930355,0.029629956725249373,1
2009-07-15,0.01813519134527359,0.018300632517142423,1.012748805141229,1.0071138764270262,1.0225730303976996,1.126919886926377,1.0101234653104376,1.129547845864217,0.9952330643955112,1.0809141789428032,1.0102304152048365,0.9171615528596927,54.84860329391047,-0.005524692453949601,-0.003938681310541244,-0.0015860111434083577,0.06150062499555782,0.5948803510393653,0.017351166846080058,0.008277269678349129,70.37870492804713,45.41673796829804,0.7185144922324782,0.23602504425323256,0.9171615528596927,0.5877852522924732,-0.8090169943749473,-0.4999999999999998,-0.8660254037844388,-0.23030567023061196,-0.973118337233262,0.0076671667957772804,0.7263703532394544,0.007111732595479925,0.787716604165246,-0.0019912028274587934,0.6848875355205928,-0.005773217625722804,1.0017115710800948,-0.00803456225700927,0.8250310070713367,0.0003312581561243366,0.8117502028841544,-0.00512164989544428,0.8224574792364886,0.018300632517142423,0.03340551983084472,0.027768664686332656,-0.006407418585626434,-0.025965348561095336,0.02092926255246702,1.0148787514015556,0.0,0.0,-0.04999999999999999,0.0,0.0,-1.060995488867746,0.03477213892755193,0.22816801830132277,910.15,933.95,910.15,932.68,0.029629956725249373,0.029199472374897586,0.008641763520178536,1
2009-07-16,0.012203911246554892,0.012278682830525467,1.0212273163826886,1.018010963089953,1.0300658491098202,1.0464952969407912,1.0216845161904407,1.0564042339374273,1.007659728590211,1.0136875464951334,1.0211508079269234,0.8640024720858542,56.13578976284917,-0.003093776018595265,-0.003731480090528239,0.0006377040719329741,0.06150124434780794,0.79569164451854,0.017347488906796434,0.008514979256613646,89.55245279817788,66.43702464714443,0.9162419309177845,-0.23652308242580866,0.8640024720858542,-0.587785252292473,-0.8090169943749475,-0.4999999999999998,-0.8660254037844388,-0.24702218048093527,-0.9690098257244063,0.018300632517142423,0.9240038195984059,0.0076671667957772804,0.7317892673800017,0.007111732595479925,0.7935931774945649,-0.003470347395976514,0.7667364057325018,-0.011417714942187573,0.8242579068473744,0.009710532948397521,0.8662248095403888,-0.008770075560411428,0.873272794039056,0.012278682830525467,0.03870736938811925,0.04401139236001517,0.004409722456934384,-0.005281731635255027,0.02128081100981721,1.0120419398928073,0.0,0.0,-0.04999999999999999,0.0,0.0,-1.063263907350323,-0.018153701214161266,0.22872598822336457,930.17,943.96,927.45,940.74,0.008641763520178536,0.00860463721951456,-0.0003826774666751964,0
